"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time delta from previous captured frame"
"174","2022-03-11 10:46:43,854464324","192.168.2.10","192.168.2.6","UDP","0x3b57 (15191)","256","0.026919630"
"175","2022-03-11 10:46:43,880542633","192.168.2.10","192.168.2.6","UDP","0x3b6f (15215)","257","0.026078309"
"176","2022-03-11 10:46:43,906497952","192.168.2.10","192.168.2.6","UDP","0x3b84 (15236)","256","0.025955319"
"177","2022-03-11 10:46:43,933380826","192.168.2.10","192.168.2.6","UDP","0x3b85 (15237)","251","0.026882874"
"178","2022-03-11 10:46:43,959533937","192.168.2.10","192.168.2.6","UDP","0x3b91 (15249)","255","0.026153111"
"179","2022-03-11 10:46:43,986428909","192.168.2.10","192.168.2.6","UDP","0x3ba0 (15264)","257","0.026894972"
"180","2022-03-11 10:46:44,012532184","192.168.2.10","192.168.2.6","UDP","0x3bb2 (15282)","254","0.026103275"
"181","2022-03-11 10:46:44,038467073","192.168.2.10","192.168.2.6","UDP","0x3bc8 (15304)","253","0.025934889"
"182","2022-03-11 10:46:44,064547889","192.168.2.10","192.168.2.6","UDP","0x3bd7 (15319)","256","0.026080816"
"183","2022-03-11 10:46:44,090561504","192.168.2.10","192.168.2.6","UDP","0x3bee (15342)","255","0.026013615"
"184","2022-03-11 10:46:44,117466017","192.168.2.10","192.168.2.6","UDP","0x3c05 (15365)","257","0.026904513"
"185","2022-03-11 10:46:44,144468381","192.168.2.10","192.168.2.6","UDP","0x3c17 (15383)","256","0.027002364"
"186","2022-03-11 10:46:44,171433199","192.168.2.10","192.168.2.6","UDP","0x3c26 (15398)","256","0.026964818"
"187","2022-03-11 10:46:44,198489838","192.168.2.10","192.168.2.6","UDP","0x3c38 (15416)","257","0.027056639"
"188","2022-03-11 10:46:44,225477868","192.168.2.10","192.168.2.6","UDP","0x3c43 (15427)","257","0.026988030"
"189","2022-03-11 10:46:44,252451348","192.168.2.10","192.168.2.6","UDP","0x3c44 (15428)","257","0.026973480"
"190","2022-03-11 10:46:44,279477254","192.168.2.10","192.168.2.6","UDP","0x3c5e (15454)","257","0.027025906"
"191","2022-03-11 10:46:44,306370971","192.168.2.10","192.168.2.6","UDP","0x3c66 (15462)","256","0.026893717"
"192","2022-03-11 10:46:44,333353332","192.168.2.10","192.168.2.6","UDP","0x3c81 (15489)","256","0.026982361"
"193","2022-03-11 10:46:44,360489394","192.168.2.10","192.168.2.6","UDP","0x3c83 (15491)","254","0.027136062"
"194","2022-03-11 10:46:44,387507026","192.168.2.10","192.168.2.6","UDP","0x3c99 (15513)","254","0.027017632"
"195","2022-03-11 10:46:44,414483712","192.168.2.10","192.168.2.6","UDP","0x3cab (15531)","256","0.026976686"
"196","2022-03-11 10:46:44,441436638","192.168.2.10","192.168.2.6","UDP","0x3cac (15532)","255","0.026952926"
"197","2022-03-11 10:46:44,468383026","192.168.2.10","192.168.2.6","UDP","0x3cad (15533)","256","0.026946388"
"198","2022-03-11 10:46:44,495545929","192.168.2.10","192.168.2.6","UDP","0x3cc7 (15559)","256","0.027162903"
"199","2022-03-11 10:46:44,522511198","192.168.2.10","192.168.2.6","UDP","0x3cd3 (15571)","256","0.026965269"
"200","2022-03-11 10:46:44,549479394","192.168.2.10","192.168.2.6","UDP","0x3cee (15598)","255","0.026968196"
"201","2022-03-11 10:46:44,576648417","192.168.2.10","192.168.2.6","UDP","0x3cff (15615)","256","0.027169023"
"202","2022-03-11 10:46:44,603504184","192.168.2.10","192.168.2.6","UDP","0x3d0b (15627)","253","0.026855767"
"203","2022-03-11 10:46:44,630481469","192.168.2.10","192.168.2.6","UDP","0x3d19 (15641)","255","0.026977285"
"204","2022-03-11 10:46:44,657399052","192.168.2.10","192.168.2.6","UDP","0x3d2c (15660)","255","0.026917583"
"205","2022-03-11 10:46:44,684520414","192.168.2.10","192.168.2.6","UDP","0x3d3a (15674)","255","0.027121362"
"206","2022-03-11 10:46:44,711425627","192.168.2.10","192.168.2.6","UDP","0x3d49 (15689)","257","0.026905213"
"207","2022-03-11 10:46:44,738493422","192.168.2.10","192.168.2.6","UDP","0x3d4e (15694)","254","0.027067795"
"208","2022-03-11 10:46:44,765482244","192.168.2.10","192.168.2.6","UDP","0x3d67 (15719)","258","0.026988822"
"209","2022-03-11 10:46:44,792478802","192.168.2.10","192.168.2.6","UDP","0x3d7c (15740)","257","0.026996558"
"210","2022-03-11 10:46:44,819487369","192.168.2.10","192.168.2.6","UDP","0x3d95 (15765)","257","0.027008567"
"211","2022-03-11 10:46:44,846438140","192.168.2.10","192.168.2.6","UDP","0x3d99 (15769)","254","0.026950771"
"212","2022-03-11 10:46:44,873465493","192.168.2.10","192.168.2.6","UDP","0x3db3 (15795)","257","0.027027353"
"213","2022-03-11 10:46:44,900472564","192.168.2.10","192.168.2.6","UDP","0x3db9 (15801)","252","0.027007071"
"214","2022-03-11 10:46:44,927470200","192.168.2.10","192.168.2.6","UDP","0x3dc2 (15810)","255","0.026997636"
"215","2022-03-11 10:46:44,954359678","192.168.2.10","192.168.2.6","UDP","0x3dd2 (15826)","256","0.026889478"
"216","2022-03-11 10:46:44,981506960","192.168.2.10","192.168.2.6","UDP","0x3ddd (15837)","256","0.027147282"
"217","2022-03-11 10:46:45,008580505","192.168.2.10","192.168.2.6","UDP","0x3dec (15852)","251","0.027073545"
"218","2022-03-11 10:46:45,035517922","192.168.2.10","192.168.2.6","UDP","0x3ded (15853)","257","0.026937417"
"219","2022-03-11 10:46:45,062418630","192.168.2.10","192.168.2.6","UDP","0x3df2 (15858)","256","0.026900708"
"220","2022-03-11 10:46:45,089430880","192.168.2.10","192.168.2.6","UDP","0x3e02 (15874)","256","0.027012250"
"221","2022-03-11 10:46:45,116519551","192.168.2.10","192.168.2.6","UDP","0x3e10 (15888)","254","0.027088671"
"222","2022-03-11 10:46:45,143488571","192.168.2.10","192.168.2.6","UDP","0x3e2b (15915)","256","0.026969020"
"223","2022-03-11 10:46:45,170521178","192.168.2.10","192.168.2.6","UDP","0x3e2f (15919)","257","0.027032607"
"224","2022-03-11 10:46:45,197502915","192.168.2.10","192.168.2.6","UDP","0x3e4a (15946)","254","0.026981737"
"225","2022-03-11 10:46:45,224582737","192.168.2.10","192.168.2.6","UDP","0x3e5d (15965)","256","0.027079822"
"226","2022-03-11 10:46:45,251544020","192.168.2.10","192.168.2.6","UDP","0x3e66 (15974)","255","0.026961283"
"227","2022-03-11 10:46:45,278503460","192.168.2.10","192.168.2.6","UDP","0x3e67 (15975)","257","0.026959440"
"228","2022-03-11 10:46:45,305678224","192.168.2.10","192.168.2.6","UDP","0x3e6c (15980)","255","0.027174764"
"229","2022-03-11 10:46:45,332394091","192.168.2.10","192.168.2.6","UDP","0x3e6f (15983)","257","0.026715867"
"230","2022-03-11 10:46:45,359387088","192.168.2.10","192.168.2.6","UDP","0x3e85 (16005)","256","0.026992997"
"231","2022-03-11 10:46:45,388442003","192.168.2.10","192.168.2.6","UDP","0x3e9b (16027)","256","0.029054915"
